title	text	keywords_site	keywords_manual
ЕС решил не признавать паспорта, выданные в новых регионах России	"Совет Евросоюза не будет признавать паспорта России, которые выданы гражданам на освобожденных территориях, а также в Абхазии и Южной Осетии. Предварительное соглашение достигнуто между Европарламентом и Чехией, которая председательствует в Совете ЕС.
Председательство Совета ЕС и Европарламент до сих пор считают эти территории принадлежащими Украине и Грузии. Поэтому заграничные паспорта РФ, полученные жителями указанных территорий, для Евросоюза не считаются действительными. Получить шенгенскую визу в такой паспорт будет невозможно.


""Это решение призвано установить единый подход, гарантировать правильное функционирование внешних границ, общей визовой политики, а также обеспечить безопасность государств-членов ЕС"", – цитирует заявление Совета Евросоюза РИА Новости."	Южная Осетия, ЕС, Евросоюз, Шенгенская зона, Абхазия, загранпаспорт	Евросоюз, ЕС, Россия, Абхазия, Южная Осетия, Европарламент, паспорт
В Третьяковской галерее готовят к открытию выставку, посвященную Игорю Грабарю	"В Третьяковской галерее готовится к открытию масштабная выставка, посвященная известному советскому живописцу, реставратору и искусствоведу.
Талантливые художники предпочитают не заниматься организационными вопросами, искусствоведы, как правило, не владеют техникой масляной живописи. Игорь Грабарь мог совместить все. Его хрестоматийные полотна – ультрамариновые тени на мартовском снегу, хризантемы, неубранная посуда на столе. Грабарь – русский импрессионист, входит в объедение ""Мир искусств"". Его звезда ярко зажигается после революции.

Благодаря своей энергии и дружбе с Луначарским он возглавляет и создает буквально все культурные проекты в СССР. Третьяковской галереей он руководил еще с 1913. Ввел систему, которой пользуются музейщики и сегодня. В 1918 он возглавил Всероссийскую комиссию по сохранению и раскрытию древнерусской живописи, позже она стала реставрационными мастерскими.

Игорь Грабарь ставит своей целью открыть красоту и величие древнерусского искусства, доказать что Андрей Рублев так же велик как Джотто. Грабарь принимает участие в реставрации рублевской Троицы, спасает иконы, которые в то время изымают из храмов и домовых церквей. От советской власти он получает все регалии, и пользуется этим, чтобы созидать и помогать. В мастерские, которые сейчас носят его имя, он приглашает лучших реставраторов.

В 1931 он покидает пост главы реставрационных мастерских, свое детище он бросает неслучайно. Над мастерскими нависла опасность, арестованы трое соратников Грабаря – Барановский, Анисимов, Чириков. Теперь он берется за кисть в тяжелые моменты жизни. Увидев в 1929 во время поездки в Европу отреставрированного Халса, начинает писать портреты.

Но в советском искусстве происходит крутой переворот, провозглашается социалистический реализм. О нем, как о единственно верном методе, Грабарь делает доклад на 17-м съезде партии в 1934 году. Он меняет свою манеру, теперь это даже не соцреализм, а советский салон. Где позы искусственные, а лица вымученные.

Портрет девочки Светланы – публика считала, что это дочь Сталина, которую никто тогда не видел. Но это была племянница химика Зелинского, кураторы выставки нашли документы. А чтобы написать Владимира Ильича, Грабарь в 1930-х покупает гипсовый бюст вождя, расписывает его акварелью, делает макет стола, книжных полок и пишет с натуры. Гости Грабаря были несколько шокированы такой инсталляцией. После войны Грабаря захватят уже другие темы, среди них – создание многотомной истории русского искусства, на которой были воспитаны несколько поколений отечественных искусствоведов."	культура, живопись, выставка, Третьяковская галерея, Игорь Грабарь	Третьяковская галерея, выставка, Игорь Грабарь, искусство
"Кинокомикс ""Черная Пантера: Ваканда навеки"" сорвал куш"	"В прошедший уикенд состоялась мировая премьера кинокомикса Marvel ""Черная Пантера: Ваканда навеки"" – второй части одноименной киносерии. Фильм показал отличный старт и даже умудрился установить несколько рекордов. Почти половину кассы ""Черной Пантере 2"" обеспечила афроамериканская аудитория.
Один из самых трогательных фильмов в кинематографической вселенной Marvel – комикс ""Черная Пантера: Ваканда навеки"" – начал прокат в странах Северной Америки с рекордов. Первые выходные принесли релизу 180 млн долларов – это 13-й стартовый результат за всю историю и лучший для ноябрьских премьер, а в рамках 2022 года – это второй дебютный результат. Сиквел ""Черной Пантеры"" уступил только марвеловскому же ""Доктору Стрэнджу 2"", который в мае получил 187,4 млн долларов. Правда, первая часть киносерии в 2018-м за аналогичный период заработала 202 млн долларов. Эксперты объясняют спад отсутствием главной звезды (актер Чедвик Боузман скончался в 2020 году), а также слишком длинным хронометражем 2 часа 41 минута (у ""Аватара 2"" с его 3 часами и 10-ю минутами такая проблема тоже будет, но на ожидаемый релиз влияние окажет в меньшей степени). Плюс ко всему, первая ""Черная Пантера"" выходила в прокат в праздничные выходные, тогда как сиквел выпустили в рядовой уикенд. Мировой прокат принес фильму Райана Куглера еще 150 млн долларов. То есть суммарно за первые выходные ""Черная Пантера 2"" освоила около 330 млн долларов.

Фильм ""Черная Пантера: Ваканда навеки"" глава Marvel Studios Кевин Файги назвал самым важным в истории кинематографической вселенной. Режиссер Райан Куглер в этом кинокомиксе затронул тему утраты близких, с которой каждый сталкивается в своей жизни. В 2020 году из жизни ушел актер Чедвик Боузман (ему было 43 года). К этому времени сценарий ""Черной Пантеры 2"" был уже по большей части написан – в итоге в сюжет пришлось вносить существенные коррективы. В этом фильме впервые представляют ""преемницу"" Тони Старка – талантливую студентку Рири, которая создает специальный прибор для обнаружения Вибраниума. Этот редкий металл, который и превратил Ваканду в процветающую страну, хотят заполучить абсолютно все мировые державы. Экранная смерть короля Т’Чаллы ставит под угрозу существование африканской страны, а потому королеве Рамонде, Шури, М’Баку, Окойе и стражницам из Доры Милаж приходится встать на ее защиту."	культура, кино, Marvel	Marvel, премьера, фильм, комикс
В горных районах Дагестана и в Махачкале создадут 10 модульных гостиниц	"В горных районах Дагестана до конца года появятся девять модульных гостиниц и еще одна – в Махачкале, сообщили ТАСС в министерстве по туризму и народным художественным промыслам региона.
Гостиницы на 100 номеров и 400 мест откроются в Гунибском, Гергебильском, Гумбетовском, Дербентском, Ахвахском, Докузпаринском, Магарамкентском районах и в Махачкале. Власти предоставят инвесторам субсидии в рамках национального проекта ""Туризм и индустрия гостеприимства"" по итогам конкурсного отбора.

Дагестан – самый южный регион России. Здесь есть и горы, и море, и даже пустыня. В Дагестане находится самый большой на Евразийском континенте заповедник – Бархан Сарыкум (""желтые пески"" в переводе с тюркского), один из высочайших барханов в мире. Это настоящая пустыня практически возле моря и покрытых лесами гор. Ежегодно регион посещают 1,5 млн туристов."	экономика, туризм, гостиница, Дагестан, Махачкала	Дагестан, Махачкала, Россия, туризм
В Абхазии суд приговорил россиянина к пожизненному заключению за наркоторговлю	"Сухумский городской суд приговорил гражданина России Собирхона Буриева к пожизненному тюремному заключению за торговлю наркотиками в особо крупном размере. Об этом сообщили представители пресс-службы Генеральной прокуратуры Абхазии.
Уроженец Таджикистана Буриев обвиняется в преступлении против здоровья населения и общественной нравственности. У него было найдено 50,108 грамма метадона. Буриев планировал его распространение путем закладок, сообщает РИА Новости.

Как отмечается в сообщении пресс-службы, Буриева приговорили к пожизненному лишению свободы, с конфискацией имущества.

В ходе следствия Буриев не признал свою вину. При этом в ходе предварительного следствия он активно сотрудничал с правоохранителями и показывал места, где делал закладки.

Генеральная прокуратура республики сообщает: к настоящему времени в Абхазии три человека пожизненно осуждены за распространение наркотиков в особо крупных размерах."	происшествия, наркотики, суд, наркоторговля, Абхазия, тюрьма	суд, Россия, тюремное заключение, наркотики, Таджикистан, метадон, прокуратура
"""Сбербанк"" вернет бесконтактную оплату SberPay"	"Функция бесконтактной оплаты при помощи NFC-чипа SberPay, переставшая работать в апреле, вернется в мобильное приложение ""Сбербанка"".
Как сообщил заместитель председателя правления банка Кирилл Царев, это произойдет в ноябре и коснется смартфонов, использующих платформу Android. Слова топ-менеджера приводит ""Коммерсант"".

Царев напомнил, что до отключения в РФ бесконтактных платежных функций Apple Pay и Google Pay платежным NFC-сервисом ""Сбербанка"" пользовались около 2 миллионов россиян. ""Сейчас мы убеждены, что эта цифра увеличится"", – заявил он.

Царев также сообщил о росте числа бесконтактных платежей смартфонами через QR-коды. Такая возможность к середине 2023 года будет доступна на всех платежных терминалах банка. Для владельцев устройств Apple она остается единственным способом применения SberPay."	технологии, финансы, Сбербанк, бесконтактные платежи, смартфоны, NFC-технологии	NFC, бесконтактная оплата, Сбербанк, Apple
Число госпитализаций пациентов с ковидом снизилось в РФ	"Оперативный штаб по противодействию коронавирусной инфекции рассказал в своем телеграм-канале о динамике заболеваемости по состоянию на 12 ноября.
Всего за минувшие сутки диагноз COVID-19 был поставлен 5 514 жителям России. Это на 40 заболевших меньше, чем было выявлено днем ранее.

62 пациента скончались от ковида – на 5 меньше, чем накануне. При этом число госпитализаций снизилось до 1188 человек, то есть почти на 5% по сравнению с пятницей.

В 32 регионах РФ заболеваемость коронавирусом выросла с прошлого дня, а в 49 – снизилась. Всего с начала пандемии ковид был выявлен у россиян 21 494 628 раза, также зафиксировано 20 896 445 выздоровлений и 390 958 смертей."	медицина, здоровье, статистика, коронавирус	коронавирус, COVID-19, Россия, пандемия, заболеваемость
"""Где мне еще жить?"". Сергей Галанин объяснил, почему остался на родине"	"В июле команда из 20 русских рокеров сняла клип на песню ""Я остаюсь"", которой в этом году исполнилось 30 лет. Сергей Галанин тоже принял участие в этом проекте. В программе ""Жизнь и судьба"" артист пояснил, что в первую очередь это дань памяти автору композиции Анатолию Крупнову. Однако сейчас песня приобрела новое звучание и стала неофициальным гимном всех, кто остался на родине, а не уехал. Почему он сам сделал такой выбор, Сергей Галанин рассказал в эфире ""России 1"".
""Я здесь родился. Где мне еще жить? По факту рождения ты должен быть уже с родиной – особенно в непростые времена"", – пояснил артист.

Он добавил, что у него лично ничего нет за границей – ""никаких хижинок дяди Тома"". А когда он уезжает из страны, то максимум через две недели его непреодолимо тянет назад.

Свою позицию Галанин подтвердил строками из старой песни ""Из воспоминаний советского туриста"":

Какие здесь дома, какие магазины,
Какая чистота, я право сам не свой,
Какие чудо-барышни, какие, брат, машины,
А в целом – маета и хочется домой.

Видение сложившейся ситуации разделяют сыновья музыканта – Тимофей и Павел, а с внучкой Авдотьей, по словам героя программы, он смотрит правильные мультики, читает правильные книги и старается чаще рассуждать об окружающем мире.

""Они все понимают"", – подчеркнул лидер группы ""СерьГа"".

Какие еще песни стали знаковыми для музыканта в последнее время? Как его хиты рождаются на свет? Об этом и многом другом Сергей Галанин рассказал в программе ""Жизнь и судьба"" в эфире канала ""Россия 1""."	кино, Родина, Сергей Галанин	рок, песня, Сергей Галанин, артист
Самый честный артист. К 75-летию Владимира Ильина	"Сегодня 75-летний юбилей отмечает народный артист России – Владимир Ильин. Про него говорят, что он не играет в кадре, а живет. Коллеги мечтают работать в ним в одном фильме. А режиссеры, даже если нет подходящей роли, специально придумают для него. О мастере – Полина Ермолаева.
""Он совсем не артист"", – скажет всякий, кто знает Владимира Ильина. Величайший талант! Интервью не дает, публичности чурается. А в кадре или на сцене – не играет, живет.

""Вот представьте себе, что он не артист и где-то идет по улице. Кто-нибудь может решить, что это знаменитый, потрясающий, замечательный артист? Я думаю, нет"", – говорит Никита Михалков.

""Мой любимый клоун"" стал открытием Ильина – уже сорокалетнего – и, между прочим, династийного артиста! Быстро выяснилось, что его талант всегда больше его ролей.

""Я стал делать ""Палату №6"", потому что увидел Ильина и почувствовал, что это его роль"", – рассказал Карен Шахназаров.

""Такое свойство у него – он не очень любит тексты. Он готов делиться, если текст довольно более или менее универсальный в диалоге. Он даже партнеру говорит: ""Послушай, давай я этот текст тебе отдам"", – сообщил Владимир Хотиненко.

Режиссер специально для Ильина однажды придумал роль в уже утвержденном сценарии ""Мусульманина"". ""Сидим чего-то, выпиваем, закусываем, и он говорит: ""Ребят, а чего у вас роли для меня нет?"" И мы так вдруг... И пока мы сидели, кто-то из нас сказал: ""Послушайте, это ж деревня. А какая деревня без пастуха?"" – вспоминает Владимир Хотиненко.

Когда во второй раз в жизни в галстуке он получал в Кремле госпремию за ""Сибирского цирюльника"", актер удивил президента просьбой отменить электроудочки – вредят рыбе. ""Куда бы Ильин ни попал, он меняет вокруг себя пространство, он – человек природы, абсолютной природы"", – считает Евгений Миронов.

""С Володей Ильиным находиться рядом на сцене нельзя. Вот говорят, что с детьми нельзя и с животными. Нельзя и с Ильиным, потому что в этот момент все будут смотреть только на Ильина. Я никак его снова не могу затащить в театр. Он ленится, ему важнее созерцать природу, удить рыбу"", – говорит артист.

Он действительно совсем не играет в театре, но появляется в кино, выбирая интересные роли. Самый честный артист! И все ему подвластно – от беспомощного до трагического, от смешного до драматического. Божий дар, не иначе."	актер/актриса, юбилей, шоу-бизнес, кино, Владимир Ильин	артист, Владимир Ильин, фильм, режиссер
Британская группа Blur сообщила о воссоединении в 2023 году	"Британская брит-поп-группа Blur рассказала о воссоединении после семилетнего затишья.
Легенды британской музыки 90-х годов соберутся вместе, чтобы дать концерт, который пройдет на стадионе ""Уэмбли"" в Лондоне в июне 2023 года. В концерте также примут участие рэпер Slowthai, певица Self Esteem и группа Jockstrap.

""Этот концерт может стать последним. Или же он может привести к тому, что мы напишем новый альбом. В том, чтобы не знать, что будет дальше, отчасти и есть веселье"", – ответил бас-гитарист группы Алекс Джеймс на вопрос Би-би-си о том, будет ли Blur выпускать новые композиции.

Барабанщик коллектива Дейв Раунтри добавил, что воссоединение планировалось и раньше, но планам помешала пандемия коронавируса и связанные с ней локдауны. При этом еще в сентябре 2022 года гитарист группы Грэм Коксон рассказывал, что ничего не знает о сборе коллектива и не поддерживает контакт с другими участниками Blur.

Британская рок-группа Blur была основана в 1988 году в Лондоне. Музыканты получили популярность в 1990-е. Последнее полноценное выступление команды состоялось в 2015 году в Великобритании."	концерт, песни, музыкант	Британская поп-группа, британская музыка, Лондон, концерт, рок-группа, Великобритания
Певец Ник Джонас рассказал о ранних признаках диабета	"Американский певец, актер и композитор Ник Джонас, более известный как один из участников популярного поп-рок бойзбенда Jonas Brothers, рассказал поклонникам о сахарном диабете.
В личном блоге 30-летний певец отметил, что живет с сахарным диабетом более 15 лет. Он также рассказал, что найденный у него в 13 лет диабет I типа выдал себя сильной жаждой и потерей веса.

По его словам, на развитие диабета указывали и другие признаки: частое мочеиспускание и раздражительность.

""Это обычные признаки диабета I типа. Я рассказываю о них, чтобы их смогли различить у себя и другие"", — написал он.

Ник открыто говорит о здоровье как в интервью, так и в социальных сетях. Ранее он отмечал, что на момент постановки диагноза весил всего 45.

Ежегодно 14 ноября в мире отмечается Всемирный день борьбы с диабетом, в день рождения сэра Фредерика Бантинга, открывшего инсулин вместе с Чарльзом Бестом в 1922 году."	музыкант, шоу-бизнес, кино, диабет, певец	Американский певец, актер, композитор, Ник Джонас, Jonas Brothers, диабет, певец, инсулин
